statement,true_label,prompt,model_output,cleaned_output
Texas would have to increase current state spending by 28 percent just to reach the national average for spending per resident.,true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Texas would have to increase current state spending by 28 percent just to reach the national average for spending per resident.""  The following speaker made the above statement: scott-mccown. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Texas would have to increase current state spending by 28 percent just to reach the national average for spending per resident.""  The following speaker made the above statement: scott-mccown. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The average American household spends $1,500 a year on groceries, but the average American household spends $1,800 a year on healthcare."" Label: true  Evaluate the truthfulness of the following statement: ""The average American household spends $1,500 a year on groceries, but the average American household spends $1,800 a year on healthcare","Statement: ""The average American household spends $1,500 a year on groceries, but the average American household spends $1,800 a year on healthcare."" Label: true  Evaluate the truthfulness of the following statement: ""The average American household spends $1,500 a year on groceries, but the average American household spends $1,800 a year on healthcare"
"Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that shes flying.",pants-fire,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that shes flying.""  The following speaker made the above statement: michele-bachmann. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that shes flying.""  The following speaker made the above statement: michele-bachmann. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The U.S. Has the highest rate of gun violence in the world, and the only way to stop it is to ban all guns."" Label: false  Evaluate the truthfulness of the following statement: ""The U.S. Has the highest rate of gun violence in the world, and the only way to stop it is to ban all guns.""  The following speaker made the above statement: john-mccain.","Statement: ""The U.S. Has the highest rate of gun violence in the world, and the only way to stop it is to ban all guns."" Label: false  Evaluate the truthfulness of the following statement: ""The U.S. Has the highest rate of gun violence in the world, and the only way to stop it is to ban all guns.""  The following speaker made the above statement: john-mccain."
Says Studies show the average age of entry into prostitution is 12 to 14 years old.,half-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Studies show the average age of entry into prostitution is 12 to 14 years old.""  The following speaker made the above statement: diane-mckeel. Additionally, the above speaker belongs to the party: county-commissioner  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Studies show the average age of entry into prostitution is 12 to 14 years old.""  The following speaker made the above statement: diane-mckeel. Additionally, the above speaker belongs to the party: county-commissioner  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says studies show the average age of entry into prostitution is 12 to 14 years old."" Label: false  Evaluate the truthfulness of the following statement: ""Says the average age of entry into prostitution is 12 to 14 years old.""  The following speaker made the above statement: diane-mckeel. Additionally, the above speaker belongs to the party: county-commission","Statement: ""Says studies show the average age of entry into prostitution is 12 to 14 years old."" Label: false  Evaluate the truthfulness of the following statement: ""Says the average age of entry into prostitution is 12 to 14 years old.""  The following speaker made the above statement: diane-mckeel. Additionally, the above speaker belongs to the party: county-commission"
"The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. citizens by 2014, including each individuals Body Mass Index.",false,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. citizens by 2014, including each individuals Body Mass Index.""  The following speaker made the above statement: ann-marie-buerkle. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. citizens by 2014, including each individuals Body Mass Index.""  The following speaker made the above statement: ann-marie-buerkle. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. Citizens by 2014, including each individuals Body Mass Index."" Label: true  Evaluate the truthfulness of the following statement: ""The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. Citizens by 2014, including each individuals Body","Statement: ""The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. Citizens by 2014, including each individuals Body Mass Index."" Label: true  Evaluate the truthfulness of the following statement: ""The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. Citizens by 2014, including each individuals Body"
Says that the state spends more money on tax giveaways than it receives in tax collection.,mostly-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says that the state spends more money on tax giveaways than it receives in tax collection.""  The following speaker made the above statement: our-oregon. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says that the state spends more money on tax giveaways than it receives in tax collection.""  The following speaker made the above statement: our-oregon. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says that the state spends more money on tax giveaways than it receives in tax collection."" Label: true  Evaluate the truthfulness of the following statement: ""Says that the state spends more money on tax giveaways than it receives in tax collection.""  The following speaker made the above statement: our-oregon. Additionally, the above speaker belongs to the party: democrat  What is your","Statement: ""Says that the state spends more money on tax giveaways than it receives in tax collection."" Label: true  Evaluate the truthfulness of the following statement: ""Says that the state spends more money on tax giveaways than it receives in tax collection.""  The following speaker made the above statement: our-oregon. Additionally, the above speaker belongs to the party: democrat  What is your"
"Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, its actually the rule.",true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, its actually the rule.""  The following speaker made the above statement: rob-portman. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, its actually the rule.""  The following speaker made the above statement: rob-portman. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The U.S. Has the highest rate of gun violence in the world. The U.S. Has the highest rate of gun violence in the world. The U.S. Has the highest rate of gun violence in the world."" Label: false  Evaluate the truthfulness of the following statement: ""The U.S. Has the highest rate of gun violence in the world. The U.S. Has the highest rate of gun","Statement: ""The U.S. Has the highest rate of gun violence in the world. The U.S. Has the highest rate of gun violence in the world. The U.S. Has the highest rate of gun violence in the world."" Label: false  Evaluate the truthfulness of the following statement: ""The U.S. Has the highest rate of gun violence in the world. The U.S. Has the highest rate of gun"
Martin Luther King Jr. was a Republican!,false,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Martin Luther King Jr. was a Republican!""  The following speaker made the above statement: raging-elephants. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Martin Luther King Jr. was a Republican!""  The following speaker made the above statement: raging-elephants. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The US economy is growing at a 3.5% rate, and the unemployment rate is at 3.8%."" Label: true  Evaluate the truthfulness of the following statement: ""The US economy is growing at a 3.5% rate, and the unemployment rate is at 3.8%.""  The following speaker made the above statement: raging-elephants. Additionally,","Statement: ""The US economy is growing at a 3.5% rate, and the unemployment rate is at 3.8%."" Label: true  Evaluate the truthfulness of the following statement: ""The US economy is growing at a 3.5% rate, and the unemployment rate is at 3.8%.""  The following speaker made the above statement: raging-elephants. Additionally,"
We have one charter school that for seven years has been rated unacceptable.,barely-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""We have one charter school that for seven years has been rated unacceptable.""  The following speaker made the above statement: bill-ratliff. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""We have one charter school that for seven years has been rated unacceptable.""  The following speaker made the above statement: bill-ratliff. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The newest addition to the city’s public transportation system is a $100 million, 10-mile, 12-station light rail system that will connect downtown to the airport and the University of Texas at Austin."" Label: true  Evaluate the truthfulness of the following statement: ""The city has a $100 million budget for public transportation, but the new light rail system will","Statement: ""The newest addition to the city’s public transportation system is a $100 million, 10-mile, 12-station light rail system that will connect downtown to the airport and the University of Texas at Austin."" Label: true  Evaluate the truthfulness of the following statement: ""The city has a $100 million budget for public transportation, but the new light rail system will"
"Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain",barely-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain""  The following speaker made the above statement: scott-walker. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain""  The following speaker made the above statement: scott-walker. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain""  The following speaker made the above statement: scott-walker","Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain""  The following speaker made the above statement: scott-walker"
There are over 100 pipelines between the United States and Canada right now.,barely-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""There are over 100 pipelines between the United States and Canada right now.""  The following speaker made the above statement: jeb-bush. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""There are over 100 pipelines between the United States and Canada right now.""  The following speaker made the above statement: jeb-bush. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The United States has over 100 pipelines between the United States and Canada right now."" Label: true  Evaluate the truthfulness of the following statement: ""The United States has over 100 pipelines between the United States and Canada right now.""  The following speaker made the above statement: jeb-bush. Additionally, the above speaker belongs to the party: republican  What is your judgment?","Statement: ""The United States has over 100 pipelines between the United States and Canada right now."" Label: true  Evaluate the truthfulness of the following statement: ""The United States has over 100 pipelines between the United States and Canada right now.""  The following speaker made the above statement: jeb-bush. Additionally, the above speaker belongs to the party: republican  What is your judgment?"
"The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing.""",mostly-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing.""""  The following speaker made the above statement: paul-krugman. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing.""""  The following speaker made the above statement: paul-krugman. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing."" Label: true  Evaluate the truthfulness of the following statement: ""The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing.""""  The following speaker made the above statement: paul-krugman. Additionally, the above speaker belongs to the party: democrats","Statement: ""The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing."" Label: true  Evaluate the truthfulness of the following statement: ""The Senate-passed health care bill ""is identical to the Massachusetts health care plan -- the same thing.""""  The following speaker made the above statement: paul-krugman. Additionally, the above speaker belongs to the party: democrats"
The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion.,barely-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion.""  The following speaker made the above statement: morgan-griffith. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion.""  The following speaker made the above statement: morgan-griffith. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion."" Label: true  Evaluate the truthfulness of the following statement: ""The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion.""  The following speaker made the above statement: morgan-","Statement: ""The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion."" Label: true  Evaluate the truthfulness of the following statement: ""The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion.""  The following speaker made the above statement: morgan-"
Nearly 60 percent of women who use birth control do so for more than just family planning.,mostly-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Nearly 60 percent of women who use birth control do so for more than just family planning.""  The following speaker made the above statement: debbie-wasserman-schultz. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Nearly 60 percent of women who use birth control do so for more than just family planning.""  The following speaker made the above statement: debbie-wasserman-schultz. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The average American household has $1,000 in savings, but only $1,000 in cash."" Label: true  Evaluate the truthfulness of the following statement: ""The average American household has $1,000 in savings, but only $1,000 in cash.""  The following speaker made the above statement: john-mccain. Additionally, the above","Statement: ""The average American household has $1,000 in savings, but only $1,000 in cash."" Label: true  Evaluate the truthfulness of the following statement: ""The average American household has $1,000 in savings, but only $1,000 in cash.""  The following speaker made the above statement: john-mccain. Additionally, the above"
"In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree.",true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree.""  The following speaker made the above statement: frank-wolf. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree.""  The following speaker made the above statement: frank-wolf. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The average American lived for 68 years and 16 workers supported one retiree in 1950. Today, the average life expectancy is 78 and three workers support one retiree."" Label: true  Evaluate the truthfulness of the following statement: ""The average American lived for 68 years and 16 workers supported one retiree in 1950. Today, the","Statement: ""The average American lived for 68 years and 16 workers supported one retiree in 1950. Today, the average life expectancy is 78 and three workers support one retiree."" Label: true  Evaluate the truthfulness of the following statement: ""The average American lived for 68 years and 16 workers supported one retiree in 1950. Today, the"
